x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5
0.3088685299150074 -0.3518869986817722 -0.5067418992021129 0.40604570721973826 -0.36396480694428857 -0.48647560307630844 0.405749543153418 -0.4247111906400408 -0.5212576265185158 0.30857236584868714 -0.4126333823775245 -0.5415239226443203 0.35023248734563905 -0.4027591662768672 -0.48868516666675466
0.3753190907393375 0.02616124623979539 0.08015320451028093 0.45900593899978875 -0.02855761728015896 0.07861782074170201 0.42517695206514594 -0.07933270802384251 0.04430324944980814 0.3414901038046947 -0.024613844503888177 0.04583863321838706 0.3925350424318521 -0.039115525741769616 0.08837233140964022
-0.0360403929253747 0.05050472404020089 -0.08037065969155095 -0.12484996068919138 0.0058185430587937015 -0.0911412633376318 -0.14820844953496407 0.060972961568221865 -0.127367926415105 -0.05939888177114738 0.10565914254962905 -0.11659732276902415 -0.10160818238900172 0.06844893965123963 -0.07840339993289364
-0.6366153949434595 -1.0448610081296252 0.06238761840314249 -0.5952038873444676 -0.9547433726430827 0.049585321238442295 -0.5454686638781406 -0.9832999226793757 0.009448916357346966 -0.5868801714771326 -1.0734175581659182 0.02225121352204716 -0.573973797934894 -1.018474967941762 0.06019508392885529
-0.6314256319286661 -0.04669598074706076 0.2731321491984556 -0.6062300476447914 0.04987643417777862 0.26689105889476483 -0.5480517845288068 0.03244836036095125 0.23208370415697302 -0.5732473688126813 -0.06412405456388813 0.23832479446066376 -0.5748664204286608 -0.009326220962380546 0.2785687518262892
-0.5319366835883553 -0.18237871629760544 0.544521735278037 -0.547481631223021 -0.0840665004908838 0.5348748276798428 -0.48616459870467965 -0.07762370276797786 0.5017280045945697 -0.4706196510700141 -0.1759359185746995 0.5113749121927639 -0.4953509930744038 -0.12525784363558023 0.5493892968797073
-0.4969762708181726 -0.22912355000726028 0.66838179548502 -0.5026179608859419 -0.12972296003479603 0.6590172855509508 -0.44079687532803935 -0.12930732817795693 0.6261846702027627 -0.43515518526027 -0.22870791815042119 0.6355491801368318 -0.45491647672754915 -0.17594048647939142 0.6736292210295154
-0.5025761348762339 -0.2214453536915214 0.2004058869685695 -0.48974907841196885 -0.12254282292593914 0.19307403654554456 -0.428139898441482 -0.13287456397181113 0.16148979885765344 -0.44096695490574694 -0.23177709473739339 0.1688216492806784 -0.4516458231463213 -0.17696034529441418 0.2076299699555812
-0.5116106446203941 -0.18134430588987294 -0.21104873333780147 -0.48529349458604043 -0.08521593152617171 -0.21921838793646284 -0.42552671825665944 -0.10422079606173468 -0.25031095250065805 -0.45184386829101303 -0.20034917042543587 -0.24214129790199668 -0.4550937920157936 -0.14419680997938492 -0.2039136846869413
-0.3101183592024394 0.04334303704813963 -0.5220164084880298 -0.21022573948032447 0.03918879766990967 -0.5240674619347502 -0.21346199501113827 -0.021367891653838303 -0.5590304999647376 -0.31335461473325316 -0.01721365227560833 -0.5569794465180172 -0.26188034777682 -0.004008943854222126 -0.5145408377189057
